odor,feature_family,band,n_subjects,n_sessions,icc2_1,ci95_lower,ci95_upper
1,logbp,delta,32,3,0.646679823918829,0.2888178909255631,0.791697768613966
1,logbp,theta,32,3,0.5878282006398051,0.32206584423358775,0.7503352159114623
1,logbp,alpha,32,3,0.3283610402337266,0.1531572722733665,0.5322177853114187
1,logbp,beta,32,3,0.14513593862430188,-0.0552919613773693,0.3627229247538291
1,logbp,gamma,32,3,-0.01025179386837711,-0.17602691054173444,0.22468002859046046
1,relbp,delta,32,3,0.5415723546671967,0.23128684243426162,0.7568550654347664
1,relbp,theta,32,3,0.5245618527900359,0.34366400338441266,0.6858402980165578
1,relbp,alpha,32,3,0.3213113998113282,0.06622832353936739,0.6741057929231273
1,relbp,beta,32,3,0.8326577223806881,0.34671999533211606,0.8982439174395415
1,relbp,gamma,32,3,0.4002731029060811,0.0951478124947305,0.6203938548536972
2,logbp,delta,32,3,0.31476062494233686,0.11334533386939377,0.4560691609750838
2,logbp,theta,32,3,0.41839635389991187,0.19942306910840352,0.5903011963011457
2,logbp,alpha,32,3,0.4198439920973001,0.2732780390704039,0.6280609579365335
2,logbp,beta,32,3,0.17352763041872266,-0.039330549334003054,0.33105298494594093
2,logbp,gamma,32,3,0.13529653241123957,-0.10901692498064139,0.3577549211348015
2,relbp,delta,32,3,0.2900524826723042,0.1610013896502795,0.47953417882497035
2,relbp,theta,32,3,0.4408221918292726,0.25031029447671727,0.5965987151024508
2,relbp,alpha,32,3,0.45242298498133887,0.3131539166109657,0.6608988369763986
2,relbp,beta,32,3,0.3770736904271303,0.12428765472300027,0.4903675180714878
2,relbp,gamma,32,3,0.05677496796454625,-0.12769219533559592,0.2783020098856567
3,logbp,delta,32,3,0.648593116541362,0.386526199298216,0.7890656366773932
3,logbp,theta,32,3,0.6161966831982557,0.44511173753984623,0.7178814271164081
3,logbp,alpha,32,3,0.3366336980378803,0.10125003466955282,0.6378620027799013
3,logbp,beta,32,3,0.3222268842369749,0.07518322327999019,0.5549319939694205
3,logbp,gamma,32,3,0.3900027995317975,0.028308774750875957,0.5548938271981425
3,relbp,delta,32,3,0.44190865473288127,0.2157104661212344,0.6459511871246059
3,relbp,theta,32,3,0.4759990200139606,0.27006103002586884,0.6492620274271123
3,relbp,alpha,32,3,0.38821871972239835,0.1334902975078078,0.7072182929623876
3,relbp,beta,32,3,0.7424463342964827,0.5128552712422906,0.8369668061296275
3,relbp,gamma,32,3,0.276920923675034,0.13262672959229754,0.5942376698327033
4,logbp,delta,32,3,0.33729929178101586,0.18970719673981326,0.46472459537466454
4,logbp,theta,32,3,0.3859979152244137,0.17607201276018897,0.5456141703238756
4,logbp,alpha,32,3,0.3559796162141872,0.1474046964843553,0.49151211107648074
4,logbp,beta,32,3,0.1993222530209409,-0.07887889787432979,0.45580720855813284
4,logbp,gamma,32,3,0.15744139915646999,-0.11531867086919273,0.3906508679868478
4,relbp,delta,32,3,0.4160199356318998,0.26201675551684006,0.5840210155428175
4,relbp,theta,32,3,0.32189443724194455,0.04936827635311661,0.5388637691490021
4,relbp,alpha,32,3,0.3977784054948577,0.2848241706924189,0.583654957304629
4,relbp,beta,32,3,0.3267597034218286,0.21562473374155408,0.497282895851378
4,relbp,gamma,32,3,0.24763867372274775,0.05780669308032963,0.4215636638779887
