protocol,subset,model,baseline,n_subjects,n_trials,mean_log_loss_improvement,ci95_lower,ci95_upper,subjects_improved_rate
losession,all,eeg_stim_logit,odor_prior,32,2304,-0.32049535687379427,-0.37064756527644654,-0.26833292555232,0.0
losession,all,odor_eeg_paired_logit,odor_prior,32,2304,-0.2904720024070738,-0.3603833156354372,-0.22568832336974343,0.03125
losession,all,odor_eeg_stim_logit,odor_prior,32,2304,-0.19743677846440078,-0.25507969928021695,-0.1450927941346332,0.0625
losession,all,odor_riemann_relative_logit,odor_prior,32,2304,-0.32516364912159224,-0.3863907510149063,-0.26859379778902454,0.03125
losession,all,odor_riemann_stim_logit,odor_prior,32,2304,-0.3196110449661197,-0.38302301296500296,-0.256897815189646,0.03125
losession,all,riemann_stim_logit,odor_prior,32,2304,-0.3216560102797514,-0.3828108702559095,-0.2612967920345393,0.03125
losession,odor_prior_disagreement,eeg_stim_logit,odor_prior,31,402,0.8031535911188719,0.5986515151050177,1.0165565803729315,0.967741935483871
losession,odor_prior_disagreement,odor_eeg_paired_logit,odor_prior,31,402,0.21990940680329865,-0.062140277756565235,0.47766964999397077,0.7419354838709677
losession,odor_prior_disagreement,odor_eeg_stim_logit,odor_prior,31,402,-0.23378108279762871,-0.5436782934714974,0.03924789726303671,0.5161290322580645
losession,odor_prior_disagreement,odor_riemann_relative_logit,odor_prior,31,402,0.7993376754927444,0.6108126486001061,1.0105847893695368,1.0
losession,odor_prior_disagreement,odor_riemann_stim_logit,odor_prior,31,402,0.8789860535100908,0.6593918009009159,1.1160607069510409,0.967741935483871
losession,odor_prior_disagreement,riemann_stim_logit,odor_prior,31,402,0.8731527931744874,0.6668192921252756,1.1003835017252228,0.967741935483871
loso,all,eeg_stim_logit,odor_prior,32,2304,-0.24073189433001063,-0.2943296707408473,-0.1769029787640685,0.03125
loso,all,odor_eeg_paired_logit,odor_prior,32,2304,-0.013920971950594043,-0.027557608198723205,0.0004465391821819729,0.25
loso,all,odor_eeg_stim_logit,odor_prior,32,2304,-0.005354874162834578,-0.016533390571882106,0.007890310227728304,0.34375
loso,all,odor_riemann_relative_logit,odor_prior,32,2304,-0.13397760225647865,-0.16211729676891393,-0.10715439692796772,0.0
loso,all,odor_riemann_stim_logit,odor_prior,32,2304,-0.12598630859524784,-0.15010775984407118,-0.10265395144719466,0.0
loso,all,riemann_stim_logit,odor_prior,32,2304,-0.2983688119320522,-0.35551211122704957,-0.23197738337571575,0.0625
loso,odor_prior_disagreement,eeg_stim_logit,odor_prior,31,452,0.7149238038429628,0.627824250539425,0.8069262605838544,1.0
loso,odor_prior_disagreement,odor_eeg_paired_logit,odor_prior,31,452,0.08757161229819402,0.04145016022455186,0.13483246931814774,0.7419354838709677
loso,odor_prior_disagreement,odor_eeg_stim_logit,odor_prior,31,452,0.10701536081024723,0.06681200546861886,0.1511287969718578,0.8064516129032258
loso,odor_prior_disagreement,odor_riemann_relative_logit,odor_prior,31,452,0.01730283378740029,-0.08394180090871783,0.1170691996858473,0.4838709677419355
loso,odor_prior_disagreement,odor_riemann_stim_logit,odor_prior,31,452,0.18887696292763728,0.055843967411973824,0.32270994189500124,0.6774193548387096
loso,odor_prior_disagreement,riemann_stim_logit,odor_prior,31,452,0.6270063820251649,0.5273533481832515,0.7360057973759031,1.0
