feature_family,band,n_subjects,mean_stim_minus_recovery,ci95_lower,ci95_upper,cohen_dz,t_statistic,t_p_value,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_q_value
logbp,delta,32,1.7311062397467496,1.3042815418879001,2.1886070241782987,1.3246071692556647,7.493109694311978,1.920596293441951e-08,10.0,2.0023435354232788e-08,2.0023435354232788e-07
logbp,theta,32,0.8894922707156968,0.6087662726454375,1.173492504820162,1.0634700819246377,6.015895252143396,1.1728407932131765e-06,31.0,1.1059455573558807e-06,3.6864851911862693e-06
logbp,alpha,32,0.5359862555359031,0.1647677656837205,0.9253620207074319,0.46858073384066107,2.6506929154568017,0.01253669373855005,135.0,0.014803256839513779,0.01644806315501531
logbp,beta,32,0.24762320295332152,0.0934197348530624,0.39627384657446096,0.5521559423495036,3.123465688862259,0.0038578343456431193,120.0,0.006084855645895004,0.007606069557368755
logbp,gamma,32,0.45376928436367936,0.22184047215110056,0.700001285934447,0.6346409900978596,3.5900715817371287,0.001124585260179997,96.0,0.0011443300172686577,0.001634757167526654
relbp,delta,32,0.05242839460914457,0.031879573540844995,0.07307297517069518,0.8780278339329092,4.966875483555968,2.3616164297957274e-05,53.0,2.0234379917383194e-05,5.0585949793457985e-05
relbp,theta,32,-0.00964325458834555,-0.013768760802589524,-0.005550850276594689,-0.7880141856848069,-4.4576813949513765,0.00010094239063182015,74.0,0.0001777801662683487,0.0002963002771139145
relbp,alpha,32,-0.009758823010259328,-0.024720342759461108,0.0061693167026149855,-0.21569488480908236,-1.220154525726027,0.23160740060394444,168.0,0.07387770712375641,0.07387770712375641
relbp,beta,32,-0.022514076287709895,-0.03137869953491757,-0.014730789572193995,-0.9030559442137801,-5.108455855555075,1.5738357499319218e-05,14.0,5.122274160385132e-08,2.561137080192566e-07
relbp,gamma,32,-0.007614229765040343,-0.011474892403098586,-0.003789989353462524,-0.6914743452968861,-3.911569588607652,0.00046680674982583364,70.0,0.00012157298624515533,0.00024314597249031067
