protocol,candidate,baseline,n_subjects,n_trials,mean_log_loss_improvement,log_loss_ci95_lower,log_loss_ci95_upper,mean_brier_improvement,brier_ci95_lower,brier_ci95_upper,participants_improved_rate,delete_odor_1_log_loss_improvement,delete_odor_2_log_loss_improvement,delete_odor_3_log_loss_improvement,delete_odor_4_log_loss_improvement,participant_wilcoxon_p_value,participant_wilcoxon_q_value
loso,M1,M0,32,2304,0.000130051152217,-0.0005655516691874,0.0010739159704976,3.987149914333966e-06,-0.0001198665018375,0.0001546286519589,0.4375,0.0001483717272785,0.0001087037957049,9.228993924711607e-05,0.0001708391466376,0.5483431480824947,
loso,M2,M0,32,2304,-0.0375510844556964,-0.066080052819714,-0.0095892273720817,-0.0138979329658049,-0.0247443606825516,-0.0034591678261217,0.21875,-0.0355565993991542,-0.0451881829546304,-0.0341950422509015,-0.0352645132180993,0.0033791903406381,
loso,M3,M0,32,2304,-0.0361147418175714,-0.0610991590279076,-0.0104358720571456,-0.013161792291061,-0.0225972289742215,-0.0037822499728447,0.21875,-0.0350348597976888,-0.046903708589474,-0.0311637064532165,-0.0313566924299063,0.002390700392425,0.00286884047091
loso,M4,M0,32,2304,-0.0509527918547925,-0.072447200012944,-0.0314692427395668,-0.0163674003732739,-0.0228645531403613,-0.0102735951020756,0.0625,-0.0493072924442929,-0.0536758828800945,-0.0523574537525646,-0.0484705383422181,7.869675755500793e-08,1.180451363325119e-07
loso,M5,M0,32,2304,-0.0219945248418272,-0.0441660993456,-0.0004379884911171,-0.0084023900866974,-0.0171126549394022,-0.0001755140831283,0.3125,-0.0177177154946948,-0.0270968912918994,-0.0213765557981426,-0.0217869367825719,0.0252704131416976,0.0252704131416976
losession,M1,M0,32,2304,-0.012793857385516,-0.0315536633975921,0.0033331570189688,-0.0052029749641,-0.010029371303842,-0.0012519892230327,0.46875,,,,,0.2781296819448471,
losession,M2,M0,32,2304,-0.2591610642052531,-0.309096970787296,-0.2067387231142736,-0.1080020623147341,-0.127641773764107,-0.0882272571129112,0.0625,,,,,4.6566128730773926e-09,
losession,M3,M0,32,2304,-0.2466960787788737,-0.2967623901841429,-0.1930864703086388,-0.1052255609162965,-0.1251654117233154,-0.0849207715135546,0.0625,,,,,4.6566128730773926e-09,1.3969838619232178e-08
losession,M4,M0,32,2304,-0.2398709214565301,-0.2957197576743539,-0.1808160847284678,-0.099607491816521,-0.1204010829782063,-0.0776641700968189,0.0625,,,,,4.0978193283081055e-08,8.195638656616212e-08
losession,M5,M0,32,2304,-0.2276999158367928,-0.2752398468614831,-0.1790171310070863,-0.094673341696791,-0.1129325786068941,-0.0759994096617521,0.03125,,,,,1.3969838619232178e-09,8.381903171539307e-09
