permutation,seed,classification,all_statistical_gates_pass,loso_log_loss_improvement,loso_log_loss_ci95_lower
1,20260811,signal_without_passage,False,-0.03758630051999,-0.0644307340182626
2,20260812,signal_without_passage,False,-0.0523392896281214,-0.0795259042652099
3,20260813,signal_without_passage,False,-0.0399273542953355,-0.0730200704238085
4,20260814,signal_without_passage,False,-0.0355145493299128,-0.0577897079369582
5,20260815,signal_without_passage,False,-0.0417531686110011,-0.0693931448039045
6,20260816,signal_without_passage,False,-0.0332894826409693,-0.060544472575835
7,20260817,signal_without_passage,False,-0.0401031357002783,-0.0660887030106803
8,20260818,signal_without_passage,False,-0.0366705732122498,-0.0728592135337491
9,20260819,signal_without_passage,False,-0.0325660247535575,-0.0562167944324223
10,20260820,signal_without_passage,False,-0.0194592811531116,-0.0410856241448404
11,20260821,signal_without_passage,False,-0.0303307104509055,-0.0529327249129709
12,20260822,signal_without_passage,False,-0.0372744152956932,-0.0677326058938662
13,20260823,signal_without_passage,False,-0.0311945828415667,-0.0565171452378327
14,20260824,signal_without_passage,False,-0.0336182755086064,-0.0625974450712206
15,20260825,signal_without_passage,False,-0.034047096862141,-0.0563152173074241
16,20260826,signal_without_passage,False,-0.0437972879798043,-0.0701588220887824
17,20260827,signal_without_passage,False,-0.0423949216416503,-0.070377254192315
18,20260828,signal_without_passage,False,-0.0185979143176763,-0.0443301023634023
19,20260829,signal_without_passage,False,-0.0357349309628971,-0.0672712847574009
20,20260830,signal_without_passage,False,-0.0265584755253572,-0.0563787829926301
