calibration_size,candidate,baseline,n_subjects,n_replicates_per_subject,mean_log_loss_improvement,log_loss_ci95_lower,log_loss_ci95_upper,mean_brier_improvement,brier_ci95_lower,brier_ci95_upper,participants_improved_rate,session_2_mean_log_loss_improvement,session_3_mean_log_loss_improvement
0,P1,P0,32,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,P2,P0,32,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,P4,P0,32,1,-0.0221347332243273,-0.0506142693075755,0.0057042677760804,-0.007517133654758,-0.0181890894116153,0.0030177227382044,0.34375,-0.0110454564581415,-0.033224009990513
4,P1,P0,32,200,-0.1301257049626773,-0.1822437364955026,-0.0694747379984397,-0.0516891154248157,-0.0730668968840791,-0.029935852033481,0.0625,-0.1338617853733209,-0.1263896245520337
4,P2,P0,32,200,0.0002994589125397,5.1542455513141586e-05,0.00063548106691,7.273363653541656e-05,2.3738345287795545e-07,0.0001485856135887,0.78125,0.0003686789393882,0.0002302388856911
4,P4,P0,32,200,-0.0221347332243273,-0.0501437774679888,0.0059080211206175,-0.007517133654758,-0.0183653394631404,0.0029911432349347,0.34375,-0.0110454564581415,-0.033224009990513
8,P1,P0,32,200,-0.0815006604575053,-0.1309148443384855,-0.0287742129922596,-0.0309138333067601,-0.0504022193441585,-0.0107203716874933,0.09375,-0.0801189368267958,-0.0828823840882147
8,P2,P0,32,200,0.0005419620822748,0.0001483636960853,0.0010212227710978,0.0001294579133846,1.6482882492949043e-05,0.0002491093071701,0.78125,0.000677420928552,0.0004065032359975
8,P4,P0,32,200,-0.0221347332243273,-0.0508012694158967,0.0062518437246093,-0.007517133654758,-0.0183268568847887,0.003086937544735,0.34375,-0.0110454564581415,-0.033224009990513
16,P1,P0,32,200,-0.0385294249173739,-0.088790502014076,0.0131288159810966,-0.0146980129942601,-0.0339926229809957,0.004509748711157,0.375,-0.0298357957376797,-0.0472230540970682
16,P2,P0,32,200,0.0011176778982142,0.0004036262906248,0.0019760074925135,0.0002687940241006,7.36179477381393e-05,0.0004752400790625,0.78125,0.0014017364490193,0.0008336193474092
16,P4,P0,32,200,-0.0221347332243273,-0.0501605388994092,0.006694546078013,-0.007517133654758,-0.0184078647050207,0.0029422710160204,0.34375,-0.0110454564581415,-0.033224009990513
24,P1,P0,32,1,-0.0208867472245738,-0.0741265199164825,0.0324573127497587,-0.0089851223692601,-0.0293407333789228,0.0101351536342075,0.46875,-0.0088167442262414,-0.0329567502229062
24,P2,P0,32,1,0.0016369262585317,0.0006683306420207,0.0028471284372482,0.0003948212683127,0.000118592085294,0.0006884054906605,0.78125,0.0020458564422484,0.0012279960748151
24,P4,P0,32,1,-0.0221347332243273,-0.049865053941884,0.0063136186506346,-0.007517133654758,-0.0179986820817022,0.002935994303537,0.34375,-0.0110454564581415,-0.033224009990513
