permutation,calibration_size,classification,all_statistical_gates_pass,mean_log_loss_improvement
1,0,negative,False,0.0
1,4,negative,False,8.540149946531113e-05
1,8,negative,False,0.0001350652735234
1,16,negative,False,0.0002822407729358
1,24,negative,False,0.0003636945703131
2,0,negative,False,0.0
2,4,negative,False,6.657481584187393e-05
2,8,negative,False,0.0001276047993507
2,16,negative,False,0.0002541827285273
2,24,negative,False,0.0003438991858149
3,0,negative,False,0.0
3,4,negative,False,0.0001583022899028
3,8,negative,False,0.0003093650676546
3,16,negative,False,0.0005752885321676
3,24,negative,False,0.0008299979943744
4,0,negative,False,0.0
4,4,negative,False,0.0001308978866441
4,8,negative,False,0.0002584259161204
4,16,negative,False,0.0005027736953938
4,24,negative,False,0.0007163928589567
5,0,negative,False,0.0
5,4,negative,False,0.0001157041845112
5,8,negative,False,0.000201499821074
5,16,negative,False,0.0004043931726298
5,24,negative,False,0.0005854649814019
6,0,negative,False,0.0
6,4,negative,False,7.380195458162163e-05
6,8,negative,False,0.0001433461110527
6,16,negative,False,0.0002885912136682
6,24,negative,False,0.0004083538133489
7,0,negative,False,0.0
7,4,negative,False,0.0001303089892447
7,8,negative,False,0.0002476516927762
7,16,negative,False,0.0005078551700907
7,24,negative,False,0.000695058102159
8,0,negative,False,0.0
8,4,negative,False,0.0001483612558764
8,8,negative,False,0.0002926526462118
8,16,negative,False,0.0005535314727143
8,24,negative,False,0.0007838511873386
9,0,negative,False,0.0
9,4,negative,False,7.245514825710495e-05
9,8,negative,False,0.0001650442617876
9,16,negative,False,0.0002755508706561
9,24,negative,False,0.0004062277073327
10,0,negative,False,0.0
10,4,negative,False,5.2436468179672016e-05
10,8,negative,False,0.0001173329394541
10,16,negative,False,0.000215258340623
10,24,negative,False,0.0002781243186242
11,0,negative,False,0.0
11,4,negative,False,0.0001205939212412
11,8,negative,False,0.0002620675522058
11,16,negative,False,0.0004710857905693
11,24,negative,False,0.0006585400135112
12,0,negative,False,0.0
12,4,negative,False,7.498875089126302e-05
12,8,negative,False,0.0001451345960392
12,16,negative,False,0.0002595135700378
12,24,negative,False,0.0003499665350932
13,0,negative,False,0.0
13,4,negative,False,6.1600661241591e-05
13,8,negative,False,0.0001247343310088
13,16,negative,False,0.0002016434721536
13,24,negative,False,0.0002724034134414
14,0,negative,False,0.0
14,4,negative,False,0.0001306820607882
14,8,negative,False,0.000250666462142
14,16,negative,False,0.0004788704831764
14,24,negative,False,0.0006843299211865
15,0,negative,False,0.0
15,4,negative,False,0.0001577599435595
15,8,negative,False,0.0003037463045218
15,16,negative,False,0.0005605646713818
15,24,negative,False,0.0008241956225288
16,0,negative,False,0.0
16,4,negative,False,8.254573219374607e-05
16,8,negative,False,0.0001395002899037
16,16,negative,False,0.0002948762783761
16,24,negative,False,0.0004199805967716
17,0,negative,False,0.0
17,4,negative,False,0.0001198746798526
17,8,negative,False,0.0002569880481513
17,16,negative,False,0.0005222676940657
17,24,negative,False,0.0007498961525405
18,0,negative,False,0.0
18,4,negative,False,6.319544766871608e-05
18,8,negative,False,0.0001426030113432
18,16,negative,False,0.0002401835940005
18,24,negative,False,0.0003385785188917
19,0,negative,False,0.0
19,4,negative,False,0.0001419291428649
19,8,negative,False,0.0002927049604472
19,16,negative,False,0.0005412908910778
19,24,negative,False,0.0007872563431752
20,0,negative,False,0.0
20,4,negative,False,5.40970840481701e-05
20,8,negative,False,0.0001237575146963
20,16,negative,False,0.0002214875951422
20,24,negative,False,0.0003183067782389
